feature_name,feature_type,modality,axis,domain,descriptor_family,magnetic_analysis_group,statistic,frequency_band,unit,source_feature,used_for_causal_centering,is_causal_derived,included_in_raw_representation,included_in_causal_representation,description
accy_median__causal_exp_1min,causal_derived,accelerometer,y,time,level_or_amplitude,not_applicable,median,,not_encoded_in_source_manifest,accy_median,False,True,False,True,"median of the acceleration Y axis, after past-only within-day median centering."
accy_p95__causal_exp_1min,causal_derived,accelerometer,y,time,level_or_amplitude,not_applicable,95th percentile,,not_encoded_in_source_manifest,accy_p95,False,True,False,True,"95th percentile of the acceleration Y axis, after past-only within-day median centering."
accz_mean__causal_exp_1min,causal_derived,accelerometer,z,time,level_or_amplitude,not_applicable,mean,,not_encoded_in_source_manifest,accz_mean,False,True,False,True,"mean of the acceleration Z axis, after past-only within-day median centering."
accz_median__causal_exp_1min,causal_derived,accelerometer,z,time,level_or_amplitude,not_applicable,median,,not_encoded_in_source_manifest,accz_median,False,True,False,True,"median of the acceleration Z axis, after past-only within-day median centering."
accz_p95__causal_exp_1min,causal_derived,accelerometer,z,time,level_or_amplitude,not_applicable,95th percentile,,not_encoded_in_source_manifest,accz_p95,False,True,False,True,"95th percentile of the acceleration Z axis, after past-only within-day median centering."
gyrx_mean__causal_exp_1min,causal_derived,gyroscope,x,time,level_or_amplitude,not_applicable,mean,,not_encoded_in_source_manifest,gyrx_mean,False,True,False,True,"mean of the angular-rate X axis, after past-only within-day median centering."
gyrx_median__causal_exp_1min,causal_derived,gyroscope,x,time,level_or_amplitude,not_applicable,median,,not_encoded_in_source_manifest,gyrx_median,False,True,False,True,"median of the angular-rate X axis, after past-only within-day median centering."
gyrx_p95__causal_exp_1min,causal_derived,gyroscope,x,time,level_or_amplitude,not_applicable,95th percentile,,not_encoded_in_source_manifest,gyrx_p95,False,True,False,True,"95th percentile of the angular-rate X axis, after past-only within-day median centering."
gyry_mean__causal_exp_1min,causal_derived,gyroscope,y,time,level_or_amplitude,not_applicable,mean,,not_encoded_in_source_manifest,gyry_mean,False,True,False,True,"mean of the angular-rate Y axis, after past-only within-day median centering."
gyry_median__causal_exp_1min,causal_derived,gyroscope,y,time,level_or_amplitude,not_applicable,median,,not_encoded_in_source_manifest,gyry_median,False,True,False,True,"median of the angular-rate Y axis, after past-only within-day median centering."
