direction,source_vehicle,target_vehicle,sensor_config,method,protocol,budget_k_days,n_partitions,delta_accuracy_median,delta_accuracy_q1,delta_accuracy_q3,delta_balanced_accuracy_median,delta_balanced_accuracy_q1,delta_balanced_accuracy_q3,delta_macro_f1_median,delta_macro_f1_q1,delta_macro_f1_q3,delta_stationary_macro_f1_median,delta_stationary_macro_f1_q1,delta_stationary_macro_f1_q3,delta_stationary_macro_f1_median,delta_stationary_macro_f1_q1,delta_stationary_macro_f1_q3,delta_charging_f1_median,delta_charging_f1_q1,delta_charging_f1_q3,delta_charging_f1_median,delta_charging_f1_q1,delta_charging_f1_q3,delta_driving_f1_median,delta_driving_f1_q1,delta_driving_f1_q3,delta_driving_f1_median,delta_driving_f1_q1,delta_driving_f1_q3,delta_objective_score_median,delta_objective_score_q1,delta_objective_score_q3
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,1,5,-0.018850317282568,-0.0346072186836518,-0.0160382667416995,-0.0235923293179017,-0.0268392133086048,-0.0234055516754881,-0.0422438169616098,-0.0450587628953424,-0.042015090497874,-0.0560675828614585,-0.0607488041173589,-0.0521254671588307,-0.0560675828614585,-0.0607488041173589,-0.0521254671588307,-0.1634382614579766,-0.2109664545849818,-0.1047806479983746,-0.1634382614579766,-0.2109664545849818,-0.1047806479983746,0.0028705808213078,-0.0140286809125399,0.006869270451399,0.0028705808213078,-0.0140286809125399,0.006869270451399,-0.0885561196920108,-0.0924299358985929,-0.0825093018868395
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,1,5,-0.0228850121928343,-0.0432059447983015,-0.0088960776384957,-0.0024453137403744,-0.0191518111774093,0.0004500095637326,-0.0173961658701196,-0.0215698742671925,-0.0103464461593779,0.0103029442803194,0.0061298760824501,0.0204260145516758,0.0103029442803194,0.0061298760824501,0.0204260145516758,0.0,0.0,0.0,0.0,0.0,0.0,-0.0829752690090767,-0.0834189287101841,-0.068851632567338,-0.0829752690090767,-0.0834189287101841,-0.068851632567338,-0.0101747859466936,-0.0129419245603155,-0.0080291539790644
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,3,5,-0.0209112546752805,-0.0210899589399029,-0.0181965224423776,-0.043929500745434,-0.0764106458346842,-0.0243882027399061,-0.0408200819198154,-0.0671556944015251,-0.0343104458783544,-0.0525346583529132,-0.0828636893554201,-0.042290069538725,-0.0525346583529132,-0.0828636893554201,-0.042290069538725,-0.0012690355329949,-0.0072220177554717,-0.000551596855551,-0.0012690355329949,-0.0072220177554717,-0.000551596855551,-0.0145276390885501,-0.0229242123980247,-0.0112909190540244,-0.0145276390885501,-0.0229242123980247,-0.0112909190540244,-0.0273808562540779,-0.0310679442936995,-0.0135682144545824
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,3,5,-0.0460978568540234,-0.0573908174692049,-0.0289814293753516,-0.0492011201716702,-0.0544012097128033,-0.0385663908091808,-0.0549337154671026,-0.0694917627588398,-0.0524680950316539,-0.0718083429172357,-0.0850423965920715,-0.0596035998431084,-0.0718083429172357,-0.0850423965920715,-0.0596035998431084,-0.1694800884873428,-0.1854580435082347,-0.1252158911801909,-0.1694800884873428,-0.1854580435082347,-0.1252158911801909,-0.01577878367995,-0.0225008649686744,-0.0113888357265606,-0.01577878367995,-0.0225008649686744,-0.0113888357265606,-0.0954592493269048,-0.1186829757027621,-0.0780662915717635
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,3,5,-0.0120052522978803,-0.0192235908921238,0.0065709664375252,-0.0101513981621191,-0.0164486068646611,-0.0077051307579844,-0.0122822432777532,-0.0186074806576137,-0.009440312674306,-0.0110651990185434,-0.0129221325346769,-0.006483507157979,-0.0110651990185434,-0.0129221325346769,-0.006483507157979,-0.0062444331596277,-0.0670359367166694,-0.0024799665442827,-0.0062444331596277,-0.0670359367166694,-0.0024799665442827,-0.0140765172237961,-0.0150034840299573,0.0068653465822842,-0.0140765172237961,-0.0150034840299573,0.0068653465822842,-0.0192889625152228,-0.0360725495250437,-0.0049058942727047
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,7,5,-0.0263157894736842,-0.0444798301486199,-0.0192271618833239,-0.0716679174545411,-0.0877056533679748,-0.0329146618194096,-0.0828187648485262,-0.0872892393470812,-0.0322412065221158,-0.1036131820741907,-0.1113904175311533,-0.0398351271556618,-0.1036131820741907,-0.1113904175311533,-0.0398351271556618,-0.0148456286195906,-0.0247511848764632,-0.0054160386740432,-0.0148456286195906,-0.0247511848764632,-0.0054160386740432,-0.0182880591063946,-0.0212138159031256,-0.0172579387982732,-0.0182880591063946,-0.0212138159031256,-0.0172579387982732,-0.0473564095726412,-0.0631208581085266,-0.0451511873672818
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,7,5,-0.0173877881116054,-0.0185774946921443,0.0043143875445507,-0.0266685447342425,-0.0356675636403551,-0.0147496411037046,-0.0272517660609995,-0.0307782366028436,0.0133060967388778,-0.0273946374392138,-0.0402617250625692,0.0188401158892964,-0.0273946374392138,-0.0402617250625692,0.0188401158892964,-0.005028289613522,-0.0264977768083248,0.004165218003592,-0.005028289613522,-0.0264977768083248,0.004165218003592,-0.0134935915454916,-0.0137814907550834,-0.0084762785370431,-0.0134935915454916,-0.0137814907550834,-0.0084762785370431,-0.0146849724351629,-0.0409527999677361,0.0002457737848793
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,7,5,-0.0399523971438286,-0.0496815286624203,-0.0384148807116862,-0.064771190138618,-0.0674587091527179,-0.0226939776355954,-0.0446744902381876,-0.0570684866060601,-0.0308575198092287,-0.0439821484475021,-0.0608711571840091,-0.0287759393655077,-0.0439821484475021,-0.0608711571840091,-0.0287759393655077,-0.1022122512101463,-0.1310438607673223,-0.0775740317117362,-0.1022122512101463,-0.1310438607673223,-0.0775740317117362,-0.0100118655148032,-0.0217490994723514,-0.009117815721319,-0.0100118655148032,-0.0217490994723514,-0.009117815721319,-0.064974023763647,-0.0748730278868126,-0.054236342565118
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,14,5,-0.0420865994774169,-0.070488322717622,-0.0124742074657662,-0.1142581789994655,-0.1380702071412576,-0.0111909535731932,-0.1066589728022829,-0.1318815707056537,-0.0140243044143253,-0.1359282479916663,-0.1660221600315962,-0.0157436378249602,-0.1359282479916663,-0.1660221600315962,-0.0157436378249602,-0.0019879266363657,-0.0830252457009912,0.0027156496331902,-0.0019879266363657,-0.0830252457009912,0.0027156496331902,-0.017264204399249,-0.0208651767733603,-0.0150707730550362,-0.017264204399249,-0.0208651767733603,-0.0150707730550362,-0.0655770092681951,-0.1123390407037887,-0.0181849046309609
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,14,5,0.0451134871506284,-0.004590275416525,0.0518850317282568,0.0285508930865895,-0.0087395949814333,0.0541393104042086,0.0697024465776988,-0.0024397814572067,0.0703951127011887,0.0946624915600636,0.0023781071516236,0.0963222737858147,0.0946624915600636,0.0023781071516236,0.0963222737858147,0.116701161933598,0.0745890878273685,0.2432122675123065,0.116701161933598,0.0745890878273685,0.2432122675123065,-0.0134270872090835,-0.0174249458992645,-0.0110290858109514,-0.0134270872090835,-0.0174249458992645,-0.0110290858109514,0.0870566160783427,0.0283717662566234,0.1418880031153447
