vehicle,sensor_configuration,method,protocol,n_folds,n_features,rows,operating_days,accuracy,balanced_accuracy,macro_f1,charging_f1,driving_f1,stationary_state_macro_f1,objective_score,stationary_off_precision,stationary_off_recall,stationary_off_f1,stationary_off_support,stationary_on_precision,stationary_on_recall,stationary_on_f1,stationary_on_support,charging_precision,charging_recall,charging_f1.1,charging_support,driving_precision,driving_recall,driving_f1.1,driving_support,macro_f1_bootstrap_center,macro_f1_ci_low,macro_f1_ci_high,charging_f1_bootstrap_center,charging_f1_ci_low,charging_f1_ci_high,delta_macro_f1,delta_macro_f1_ci_low,delta_macro_f1_ci_high,delta_charging_f1,delta_charging_f1_ci_low,delta_charging_f1_ci_high
Bus A,M+G,CAUSAL,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,83,99879,254,0.8663482814205188,0.8212191066696753,0.8168113560449536,0.7365506329113924,0.9975045042020568,0.7565803066592526,0.7847070667915291,0.7530550395933131,0.7351593815613666,0.7439996136572173,20956,0.8052390735898394,0.773769462018217,0.7891906734091481,22287,0.6990539119987986,0.7782979434877111,0.7365506329113924,11962,0.997359411014389,0.9976496396114071,0.9975045042020568,44674,0.8168113560449536,0.7953690339944134,0.8361631509747323,0.7365506329113924,0.6943147421772896,0.7735816425962615,0.03942563388613918,0.024284109234354402,0.05441107811071945,0.09163189392568649,0.054640838804812485,0.12694857057043687
Bus A,A+M+G,RAW,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,137,99879,254,0.887133431452057,0.8468668531942272,0.8402229860891115,0.7415427294444016,0.9988248066527136,0.7873557125679108,0.8007508834312275,0.7776674159652883,0.709868295476236,0.7422227765997256,20956,0.8823183155988227,0.874321353255261,0.8783016316596052,22287,0.6877501429388222,0.8044641364320347,0.7415427294444016,11962,0.9988359859422917,0.9988136276133769,0.9988248066527136,44674,0.8402229860891115,0.8184440381493348,0.8600369723339946,0.7415427294444017,0.6919791135698221,0.7859276348868071,0.0,0.0,0.0,0.0,0.0,0.0
Bus A,A+M+G,ZSCORE,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,137,99879,254,0.8626237747674687,0.7933900888811001,0.7985993670027548,0.6336670203441436,0.9986342773984104,0.7319210635375363,0.7326264283393102,0.6801111448790865,0.7475186104218362,0.7122235104230603,20956,0.8463181312569522,0.8534571723426213,0.8498726598454046,22287,0.7069480185280494,0.5741514796856713,0.6336670203441436,11962,0.9988355428161949,0.9984330930742714,0.9986342773984104,44674,0.7985993670027548,0.7762530844086648,0.8184658063249635,0.6336670203441436,0.5718613014417278,0.6882914247378915,-0.0416236190863567,-0.060689559849725835,-0.02480261230786409,-0.10787570910025812,-0.16030990760603683,-0.061053571935734026
Bus A,A+M+G,CORAL,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,137,99879,254,0.8613322119764916,0.8061591735028071,0.8032553284960561,0.6841913697577546,0.9978961974888655,0.7383750388317862,0.7556297450007354,0.7148087037228009,0.6615289177323916,0.6871375464684015,20956,0.8301493574157693,0.8578992237627316,0.8437962002692028,22287,0.6626713670191932,0.7071559939809396,0.6841913697577546,11962,0.9977398854278553,0.9980525585351658,0.9978961974888655,44674,0.8032553284960562,0.7808477701885326,0.8252880941529414,0.6841913697577547,0.6308747848347088,0.7344715347284929,-0.036967657593055314,-0.054714108292985064,-0.01946389919394829,-0.05735135968664695,-0.09402553071426575,-0.022375424843062142
Bus A,A+M+G,QUANTILE,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,137,99879,254,0.874758457733858,0.8319827707972579,0.8270333103393698,0.7429662939233554,0.9927754094682522,0.7717859439630756,0.7934065037729641,0.7630743171712895,0.6879175415155564,0.7235494880546075,20956,0.8294510576346664,0.8691613945349307,0.848842049911264,22287,0.7089693931799195,0.7803878950008359,0.7429662939233554,11962,0.9950973777717806,0.9904642521377087,0.9927754094682522,44674,0.8270333103393698,0.8065787471810235,0.8464018040776564,0.7429662939233556,0.6996298835410366,0.7818107185132641,-0.013189675749741725,-0.025787738167151134,-0.0012142744203644848,0.0014235644789538648,-0.02293354362326438,0.024692138995969778
Bus A,A+M+G,CAUSAL,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,137,99879,254,0.9052453468697124,0.8734572207565041,0.8696059122509113,0.8150789199583367,0.998892059761625,0.8265105297473401,0.8477951153338814,0.800481359595265,0.7776770376025959,0.7889144378555004,20956,0.8845185219103439,0.8667384573966886,0.8755382314281829,22287,0.7825384615384615,0.8504430697207824,0.8150789199583367,11962,0.9988138134777645,0.9989703183059497,0.998892059761625,44674,0.8696059122509112,0.8502365180229965,0.8868567622384849,0.8150789199583367,0.776401856730731,0.8515340248276511,0.029382926161799716,0.01706763683611994,0.04362774569213453,0.07353619051393501,0.04040961655727064,0.11115507470486531
Bus B,A,RAW,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,54,13321,30,0.9009083402146986,0.8777223624296266,0.8834884628888726,0.8246185496314075,0.9871122566882944,0.8489471982890654,0.8599404975858866,0.9112244897959184,0.8644724104549855,0.8872329855936413,1033,0.7816377171215881,0.8961593172119487,0.8349900596421471,3515,0.9004118307749907,0.7605945604048071,0.8246185496314075,3162,0.9845744680851064,0.9896631616467653,0.9871122566882944,5611,0.8834884628888726,0.8160008641302617,0.9312945920697886,0.8246185496314075,0.6453147928956554,0.9209490025854019,0.0,0.0,0.0,0.0,0.0,0.0
Bus B,A,ZSCORE,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,54,13321,30,0.7477666841828692,0.7018496826554282,0.6468108110453472,0.4600407516413856,0.9861816885085138,0.5336871852242916,0.5721027872837625,0.29130598419269854,0.7492739593417231,0.4195121951219512,1033,0.6941887983171181,0.7510668563300142,0.7215086089095382,3515,0.8095617529880478,0.3213156230234029,0.4600407516413856,3162,0.9866214769889404,0.9857422919265728,0.9861816885085138,5611,0.6468108110453472,0.5312854517717905,0.7606560018352652,0.4600407516413854,0.13440044221243339,0.6922188011987858,-0.2366776518435254,-0.33410083075635283,-0.1352569455764237,-0.36457779799002205,-0.6393167528759763,-0.15347581586617148
Bus B,A,CORAL,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,54,13321,30,0.782523834546956,0.7398498111674806,0.6896683594018802,0.5361093038386467,0.9848915748311411,0.59126062092546,0.6282447371765868,0.32082324455205813,0.7696030977734754,0.4528624323554543,1033,0.7599253930189181,0.811379800853485,0.7848101265822784,3515,0.8530020703933747,0.3908918406072106,0.5361093038386467,3162,0.9822726466938486,0.9875245054357512,0.9848915748311411,5611,0.6896683594018801,0.5992300698386674,0.7766617902171737,0.5361093038386466,0.28223741700709165,0.7087695537690286,-0.19382010348699252,-0.28060501191960946,-0.11235995213837924,-0.2885092457927608,-0.528000883560099,-0.1141044738117129
Bus B,A,QUANTILE,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,54,13321,30,0.8728323699421965,0.8452897478755177,0.8483066884402619,0.8266932270916335,0.9614496358145319,0.8105923726488387,0.8396613039008105,0.8223099703849951,0.8063891577928364,0.8142717497556208,1033,0.7612529613056067,0.8227596017069702,0.7908121410992617,3515,0.870020964360587,0.7874762808349146,0.8266932270916335,3162,0.9583849831769081,0.9645339511673499,0.9614496358145319,5611,0.8483066884402619,0.7908208050066083,0.89222886249236,0.8266932270916335,0.6861943407590669,0.9032548631207097,-0.0351817744486107,-0.08024137115352878,0.012168567046049288,0.0020746774602260487,-0.11380852430275931,0.12979211554025089
Bus B,A,CAUSAL,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,54,13321,30,0.8984310487200661,0.8707630071224938,0.878298692347124,0.819867086393844,0.9870268349031456,0.8420559781617835,0.854926049965812,0.9061522419186653,0.8412391093901258,0.8724899598393574,1033,0.7689166466490511,0.9106685633001422,0.833810888252149,3515,0.917057902973396,0.7413029728020241,0.819867086393844,3162,0.9842282473861421,0.9898413829976831,0.9870268349031456,5611,0.878298692347124,0.8101944838970087,0.9256432367928175,0.8198670863938441,0.6659225722374512,0.9086996064256844,-0.005189770541748628,-0.036179601896553774,0.022211580338713455,-0.004751463237563369,-0.07761098876005175,0.06617369746627026
Bus B,M,RAW,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,41,13321,30,0.7807972374446362,0.7483642427667416,0.7029745445055173,0.5599133261105093,0.9790009829327138,0.6109657316964517,0.6457500571475141,0.42762823768410363,0.8151016456921588,0.5609593604263824,1033,0.645751331326696,0.7934566145092461,0.7120245085524636,3515,0.8891947694425327,0.40860215053763443,0.5599133261105093,3162,0.9817204301075269,0.9762965603279273,0.9790009829327138,5611,0.7029745445055172,0.5805796377870845,0.8243267973770545,0.5599133261105093,0.23766145639275166,0.7643784351682383,0.0,0.0,0.0,0.0,0.0,0.0
Bus B,M,ZSCORE,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,41,13321,30,0.6540800240222205,0.6206801685465655,0.5185454486932934,0.12345679012345678,0.9525386313465783,0.37388105447553177,0.36050998526535877,0.2447296058661778,0.7754114230396902,0.3720390153274501,1033,0.5550912689685507,0.7180654338549075,0.6261473579756884,3515,0.875,0.06641366223908918,0.12345679012345678,3162,0.9842235316479757,0.9228301550525753,0.9525386313465783,5611,0.5185454486932933,0.4428874560229537,0.6150621671630395,0.12345679012345678,0.0,0.31680106350630477,-0.1844290958122239,-0.2866726825320583,-0.0861028182482745,-0.4364565359870525,-0.6503220090310281,-0.18451522661967712
