bus_b_orientation,direction,source_vehicle,target_vehicle,sensor_config,method,protocol,budget_k_days,n_test_splits,accuracy_splitmedian_p10,accuracy_splitmedian_p50,accuracy_splitmedian_p90,balanced_accuracy_splitmedian_p10,balanced_accuracy_splitmedian_p50,balanced_accuracy_splitmedian_p90,macro_f1_splitmedian_p10,macro_f1_splitmedian_p50,macro_f1_splitmedian_p90,stationary_macro_f1_splitmedian_p10,stationary_macro_f1_splitmedian_p50,stationary_macro_f1_splitmedian_p90,stationary_macro_f1_splitmedian_p10,stationary_macro_f1_splitmedian_p50,stationary_macro_f1_splitmedian_p90,charging_f1_splitmedian_p10,charging_f1_splitmedian_p50,charging_f1_splitmedian_p90,charging_f1_splitmedian_p10,charging_f1_splitmedian_p50,charging_f1_splitmedian_p90,driving_f1_splitmedian_p10,driving_f1_splitmedian_p50,driving_f1_splitmedian_p90,driving_f1_splitmedian_p10,driving_f1_splitmedian_p50,driving_f1_splitmedian_p90,objective_score_splitmedian_p10,objective_score_splitmedian_p50,objective_score_splitmedian_p90,adaptation_rows_splitmedian_p10,adaptation_rows_splitmedian_p50,adaptation_rows_splitmedian_p90,adaptation_hours_splitmedian_p10,adaptation_hours_splitmedian_p50,adaptation_hours_splitmedian_p90,adaptation_window_hours_splitmedian_p10,adaptation_window_hours_splitmedian_p50,adaptation_window_hours_splitmedian_p90,adaptation_span_hours_splitmedian_p10,adaptation_span_hours_splitmedian_p50,adaptation_span_hours_splitmedian_p90
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,18,5,0.7612747455992889,0.8048282896973818,0.8281105366853394,0.722131036859083,0.7773533070689287,0.800665191043153,0.6789943147401639,0.7340924815160035,0.7579075798178428,0.5799113330436644,0.6570044343551565,0.6848382182064995,0.5799113330436644,0.6570044343551565,0.6848382182064995,0.5937179757384368,0.7654814222932481,0.8426289457133865,0.5937179757384368,0.7654814222932481,0.8426289457133865,0.9690894257878772,0.9751671442215856,0.9780244807571412,0.9690894257878772,0.9751671442215856,0.9780244807571412,0.6498123358801957,0.7627348715767964,0.7770450434360426,7973.8,8375.0,9672.4,149.09656916666663,158.7114808333332,178.50561349999998,132.89666666666668,139.58333333333334,161.20666666666668,206.65689111111112,212.34181361111115,235.39408666666668
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,18,5,0.72741654682185,0.7514537610204465,0.7527720270642686,0.6642404552963842,0.6940756755125072,0.7101108602712779,0.6374366212468999,0.6611162467414203,0.6767725611858938,0.5477225071709354,0.5792893305126188,0.5967752326696131,0.5477225071709354,0.5792893305126188,0.5967752326696131,0.6409514603014678,0.7672162948593598,0.7960474755550089,0.6409514603014678,0.7672162948593598,0.7960474755550089,0.9026256661947676,0.9162098668754894,0.9171500353653188,0.9026256661947676,0.9162098668754894,0.9171500353653188,0.6480927401398049,0.7034675022337489,0.7139745795325982,7973.8,8375.0,9672.4,149.09656916666663,158.7114808333332,178.50561349999998,132.89666666666668,139.58333333333334,161.20666666666668,206.65689111111112,212.34181361111115,235.39408666666668
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,RAW,FIVE_PARTITION_UNLABELED_BUDGET,0,5,0.6594369512342994,0.6898503841488072,0.7542239163500063,0.5807423996709623,0.6209383475553374,0.7277254982514285,0.5617715384479641,0.5708434653005134,0.6831304826577309,0.4263725183225362,0.4405127418398479,0.5886959346649143,0.4263725183225362,0.4405127418398479,0.5886959346649143,0.4159099192576564,0.5084937712344281,0.6030682475848458,0.4159099192576564,0.5084937712344281,0.6030682475848458,0.9627062107570796,0.9646635156425838,0.9713878457904288,0.9627062107570796,0.9646635156425838,0.9713878457904288,0.503426890771841,0.5459035876740793,0.6511055886285768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,CAUSAL,FIVE_PARTITION_UNLABELED_BUDGET,0,5,0.738789733852677,0.7603583426651735,0.8372403049066172,0.641514659347507,0.7343731154051356,0.8109526403432838,0.6180223901760965,0.6912686091773865,0.7900233212164124,0.4999946708112623,0.5966895323174933,0.7275526052546325,0.4999946708112623,0.5966895323174933,0.7275526052546325,0.5322417971299543,0.615948670944088,0.8041172755250975,0.5322417971299543,0.615948670944088,0.8041172755250975,0.9721055482705993,0.975005839757066,0.9776156542455132,0.9721055482705993,0.975005839757066,0.9776156542455132,0.5845269773320263,0.6611406338840671,0.7956609029398864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,1,5,0.6624532294856639,0.6953154162000746,0.7499548329680872,0.5965356340265028,0.6757423170061326,0.7006526518073206,0.5511544606705364,0.6026164003480048,0.6627970157190008,0.410187965557122,0.479325763162871,0.5593987166084349,0.410187965557122,0.479325763162871,0.5593987166084349,0.3603301687117224,0.3860925530144519,0.557345189157088,0.3603301687117224,0.3860925530144519,0.557345189157088,0.9662914800083608,0.9742209649655732,0.9759421185221182,0.9662914800083608,0.9742209649655732,0.9759421185221182,0.4774331393647312,0.5310316266922732,0.6355051370545268,695.0,736.5,741.9,13.20090777777778,13.435447222222225,13.907681055555557,11.583333333333334,12.275,12.365,14.883189722222223,15.772793472222222,17.122592805555552
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,1,5,0.5953971488820116,0.6198649409116488,0.6383185737053874,0.5450780105770328,0.6020011840538178,0.6275186049557968,0.4836597567312167,0.5455621477423367,0.5548664421915075,0.3493264655617066,0.4258164069204563,0.4457506498843874,0.3493264655617066,0.4258164069204563,0.4457506498843874,0.17174098443204,0.2868618057958871,0.4003627208227207,0.17174098443204,0.2868618057958871,0.4003627208227207,0.8373341771363725,0.9165901937438528,0.9225804886616134,0.8373341771363725,0.9165901937438528,0.9225804886616134,0.3775812638636704,0.4453068493444597,0.4705709994771921,695.0,736.5,741.9,13.20090777777778,13.435447222222225,13.907681055555557,11.583333333333334,12.275,12.365,14.883189722222223,15.772793472222222,17.122592805555552
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,1,5,0.3684232554155432,0.4073344588257362,0.4202700170945048,0.3029872959347842,0.3545188808748887,0.3853145981806103,0.2509025763923114,0.2867887633847946,0.301454693213772,0.110953828709412,0.1403859378765294,0.1517235693867464,0.110953828709412,0.1403859378765294,0.1517235693867464,0.0,0.0,0.0,0.0,0.0,0.0,0.5955738393801953,0.7153985585430063,0.7444183436003655,0.5955738393801953,0.7153985585430063,0.7444183436003655,0.1519032479630464,0.1720732580308767,0.1819957702604411,695.0,736.5,741.9,13.20090777777778,13.435447222222225,13.907681055555557,11.583333333333334,12.275,12.365,14.883189722222223,15.772793472222222,17.122592805555552
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,3,5,0.6635359089698248,0.6882329154872624,0.7503367339672473,0.5391548726262446,0.6067642765529404,0.6986743518115184,0.5020468304128757,0.5797288376770984,0.6634851033174369,0.3518660113293032,0.4479095998566558,0.5606119053944199,0.3518660113293032,0.4479095998566558,0.5606119053944199,0.1014852880458216,0.3200197792326694,0.5883668085649405,0.1014852880458216,0.3200197792326694,0.5883668085649405,0.9538368517008832,0.9667845586904924,0.9738840044878396,0.9538368517008832,0.9667845586904924,0.9738840044878396,0.3518340884961581,0.4462682723782332,0.6363922558612134,1141.3,1361.0,1807.5,21.268327805555558,24.758099861111116,32.869359916666674,19.02166666666667,22.683333333333334,30.125,34.82972738888889,38.08004055555556,40.22354008333333
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,3,5,0.6408020219183228,0.7171519223590892,0.7229233888552357,0.5771620064261137,0.703358835122744,0.723152142762099,0.5322369109738829,0.6414706301086404,0.6513664367932892,0.4107392988080821,0.5381896112687552,0.5536603743826112,0.4107392988080821,0.5381896112687552,0.5536603743826112,0.3015159027811512,0.3917931124813606,0.4975993669397046,0.3015159027811512,0.3917931124813606,0.4975993669397046,0.895945873183315,0.9406020978016432,0.9684359061354778,0.895945873183315,0.9406020978016432,0.9684359061354778,0.4393557185715016,0.5577588591948773,0.5823751532521939,1141.3,1361.0,1807.5,21.268327805555558,24.758099861111116,32.869359916666674,19.02166666666667,22.683333333333334,30.125,34.82972738888889,38.08004055555556,40.22354008333333
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,3,5,0.475759519638204,0.5015300918055083,0.5224347187252587,0.3898842916865014,0.4335999788136724,0.4422780871537198,0.3418230730147679,0.3790623961959859,0.4193289534999863,0.1860827748195241,0.2188969060530772,0.2722304999797824,0.1860827748195241,0.2188969060530772,0.2722304999797824,0.0046158018195253,0.0225097357352292,0.28690461798116,0.0046158018195253,0.0225097357352292,0.28690461798116,0.8013726748119951,0.860728573873879,0.8786279453254111,0.8013726748119951,0.860728573873879,0.8786279453254111,0.2188297289239932,0.2339805881106357,0.3462164060098407,1141.3,1361.0,1807.5,21.268327805555558,24.758099861111116,32.869359916666674,19.02166666666667,22.683333333333334,30.125,34.82972738888889,38.08004055555556,40.22354008333333
