bus_b_orientation,direction,source_vehicle,target_vehicle,sensor_config,method,protocol,budget_k_days,n_runs,n_test_splits,accuracy_p25,accuracy_p50,accuracy_p75,balanced_accuracy_p25,balanced_accuracy_p50,balanced_accuracy_p75,macro_f1_p25,macro_f1_p50,macro_f1_p75,stationary_macro_f1_p25,stationary_macro_f1_p50,stationary_macro_f1_p75,stationary_macro_f1_p25,stationary_macro_f1_p50,stationary_macro_f1_p75,charging_f1_p25,charging_f1_p50,charging_f1_p75,charging_f1_p25,charging_f1_p50,charging_f1_p75,driving_f1_p25,driving_f1_p50,driving_f1_p75,driving_f1_p25,driving_f1_p50,driving_f1_p75,objective_score_p25,objective_score_p50,objective_score_p75,adaptation_rows_p25,adaptation_rows_p50,adaptation_rows_p75,adaptation_hours_p25,adaptation_hours_p50,adaptation_hours_p75,adaptation_window_hours_p25,adaptation_window_hours_p50,adaptation_window_hours_p75,adaptation_span_hours_p25,adaptation_span_hours_p50,adaptation_span_hours_p75
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG_GYR,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.6883227176220806,0.6953093408815204,0.708262495749745,0.6264085585029984,0.6515933992056913,0.660482109646918,0.5941014366672579,0.6093974894148302,0.6200790584490906,0.4634650446767812,0.4865036805855234,0.5008333474990083,0.4634650446767812,0.4865036805855234,0.5008333474990083,0.3666061705989111,0.3863636363636363,0.4774859287054409,0.3666061705989111,0.3863636363636363,0.4774859287054409,0.97807891590275,0.9849502199583235,0.986010612638688,0.97807891590275,0.9849502199583235,0.986010612638688,0.4866276128846397,0.531612353092115,0.5630418065516307,7990.0,8375.0,8611.0,150.05160749999996,158.7114808333332,160.7930033333332,133.16666666666666,139.58333333333334,143.51666666666668,212.32198277777775,212.34181361111115,215.87509
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG_GYR,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.6537235040330145,0.6646136618141097,0.6719745222929936,0.5675702984025869,0.5834943424876713,0.5955366379826725,0.5427195776855969,0.5663466835993245,0.5865078637764515,0.4163436879502453,0.4394946931766805,0.466543818368602,0.4163436879502453,0.4394946931766805,0.466543818368602,0.418216805644644,0.4735557363710334,0.494773519163763,0.418216805644644,0.4735557363710334,0.494773519163763,0.9344378698224852,0.9464,0.9469026548672568,0.9344378698224852,0.9464,0.9469026548672568,0.479336664644145,0.5377174178250999,0.5413270128142842,7990.0,8375.0,8611.0,150.05160749999996,158.7114808333332,160.7930033333332,133.16666666666666,139.58333333333334,143.51666666666668,212.32198277777775,212.34181361111115,215.87509
RECORDED,BUS_B_to_BUS_A,BUS_B,BUS_A,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.6802666128054938,0.6891534391534392,0.7398395029769609,0.5317230575372591,0.533397334472308,0.5924020431295915,0.4568394821859849,0.4800200910295468,0.5639546103599937,0.2822449738769554,0.308176914133447,0.4211659690720896,0.2822449738769554,0.308176914133447,0.4211659690720896,0.0,0.0,0.0,0.0,0.0,0.0,0.983288409703504,0.9870875179340028,0.992320534223706,0.983288409703504,0.9870875179340028,0.992320534223706,0.2741036893115909,0.288012054617728,0.3383727662159962,6852.0,7203.0,8374.0,142.91942611111114,144.022228611111,165.7267405555556,114.2,120.05,139.56666666666666,278.2406766666667,282.78648527777773,296.6045361111111
RECORDED,BUS_B_to_BUS_A,BUS_B,BUS_A,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.6826903655827106,0.7398395029769609,0.7514769594328475,0.5629759539547262,0.6454946592480837,0.6622814292530984,0.5554230106294823,0.6060762948983492,0.6366169015886138,0.4177326241122776,0.480621013575559,0.5201487003260371,0.4177326241122776,0.480621013575559,0.5201487003260371,0.2398331595411887,0.3615702479338843,0.451761102603369,0.2398331595411887,0.3615702479338843,0.451761102603369,0.9684941701810964,0.9824421388667198,0.986021505376344,0.9684941701810964,0.9824421388667198,0.986021505376344,0.4806168494600961,0.4888648950857193,0.5082738761125632,6852.0,7203.0,8374.0,142.91942611111114,144.022228611111,165.7267405555556,114.2,120.05,139.56666666666666,278.2406766666667,282.78648527777773,296.6045361111111
RECORDED,BUS_B_to_BUS_A,BUS_B,BUS_A,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.5960412037972127,0.6219576719576719,0.6629562516179135,0.4840740793305061,0.5087338897159175,0.5524887201593199,0.4456395352103877,0.4456419182530883,0.5162239110122497,0.3028177096361255,0.3205249217369783,0.3895656045465474,0.3028177096361255,0.3205249217369783,0.3895656045465474,0.0,0.0,0.009367681498829,0.0,0.0,0.009367681498829,0.8741050119331742,0.8961988304093568,0.9066279632317368,0.8741050119331742,0.8961988304093568,0.9066279632317368,0.2673837211262326,0.267385150951853,0.3097343466073498,6852.0,7203.0,8374.0,142.91942611111114,144.022228611111,165.7267405555556,114.2,120.05,139.56666666666666,278.2406766666667,282.78648527777773,296.6045361111111
RECORDED,BUS_B_to_BUS_A,BUS_B,BUS_A,ACC_MAG,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.6740052514643506,0.6862433862433862,0.7577012684442144,0.5270538377037142,0.5323701497514854,0.5892200129680601,0.4624505420636031,0.4835196632610244,0.5692960238673455,0.2933483677688234,0.3128443320095025,0.4321911781377587,0.2933483677688234,0.3128443320095025,0.4321911781377587,0.0,0.0,0.0,0.0,0.0,0.0,0.9799891833423472,0.9806105610561056,0.9933333333333332,0.9799891833423472,0.9806105610561056,0.9933333333333332,0.2774703252381619,0.2901117979566147,0.3415776143204073,6852.0,7203.0,8374.0,142.91942611111114,144.022228611111,165.7267405555556,114.2,120.05,139.56666666666666,278.2406766666667,282.78648527777773,296.6045361111111
RECORDED,BUS_B_to_BUS_A,BUS_B,BUS_A,ACC_MAG,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.6639917162826818,0.6659260755402949,0.7136667979519495,0.5336637787478434,0.5888385933598851,0.5930290366976507,0.5230857183640163,0.5278451178415369,0.5479095856292723,0.3754493696355334,0.3826469136450403,0.4015678897167516,0.3754493696355334,0.3826469136450403,0.4015678897167516,0.1632653061224489,0.2366863905325443,0.2779369627507163,0.1632653061224489,0.2366863905325443,0.2779369627507163,0.975130890052356,0.9763907734056988,0.985032362459547,0.975130890052356,0.9763907734056988,0.985032362459547,0.3791575534673894,0.4234203075905811,0.4278818558052086,6852.0,7203.0,8374.0,142.91942611111114,144.022228611111,165.7267405555556,114.2,120.05,139.56666666666666,278.2406766666667,282.78648527777773,296.6045361111111
RECORDED,BUS_B_to_BUS_A,BUS_B,BUS_A,ACC_MAG,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.586078431372549,0.5897798424560695,0.641470359823971,0.4756329384862153,0.4983864644331264,0.5184412387763708,0.4097355320230973,0.4452285457848015,0.4828259101069002,0.2502156995654481,0.298716186046402,0.3423123285967619,0.2502156995654481,0.298716186046402,0.3423123285967619,0.0,0.0,0.0,0.0,0.0,0.0,0.8652865286528653,0.884765625,0.8882950293960449,0.8652865286528653,0.884765625,0.8882950293960449,0.2458413192138583,0.2671371274708809,0.2896955460641401,6852.0,7203.0,8374.0,142.91942611111114,144.022228611111,165.7267405555556,114.2,120.05,139.56666666666666,278.2406766666667,282.78648527777773,296.6045361111111
RECORDED,BUS_B_to_BUS_A,BUS_B,BUS_A,ACC_GYR,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.6994708994708995,0.7162745098039216,0.7641729225990163,0.5435966142499413,0.6010772288060048,0.6102589434670183,0.4690999335200588,0.5788019174630492,0.5909812670390912,0.2990795685544853,0.4395824976203488,0.4551930180876271,0.2990795685544853,0.4395824976203488,0.4551930180876271,0.0,0.0,0.0,0.0,0.0,0.0,0.9818805093046034,0.986869101354124,0.9964601769911504,0.9818805093046034,0.986869101354124,0.9964601769911504,0.2814599601120353,0.3545887602234547,0.3554373007381384,6852.0,7203.0,8374.0,142.91942611111114,144.022228611111,165.7267405555556,114.2,120.05,139.56666666666666,278.2406766666667,282.78648527777773,296.6045361111111
RECORDED,BUS_B_to_BUS_A,BUS_B,BUS_A,ACC_GYR,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.6883457887295495,0.704115972042454,0.7394643560456873,0.5571397418912404,0.6044152351898104,0.6156556626308807,0.5478505923273636,0.5732862597167492,0.5958596671738503,0.4015222264673639,0.4322639054462112,0.4622529072720838,0.4015222264673639,0.4322639054462112,0.4622529072720838,0.1962922573609596,0.3044982698961938,0.3224043715846995,0.1962922573609596,0.3044982698961938,0.3224043715846995,0.9868356899073624,0.988474939694452,0.9963533225283632,0.9868356899073624,0.988474939694452,0.9963533225283632,0.436032703248694,0.465771063788527,0.4779271795848607,6852.0,7203.0,8374.0,142.91942611111114,144.022228611111,165.7267405555556,114.2,120.05,139.56666666666666,278.2406766666667,282.78648527777773,296.6045361111111
