orientation,direction,source_vehicle,target_vehicle,sensor_configuration,method,protocol,target_adaptation_days,uses_target_adaptation,normalizer_fit_days,n_features,test_rows,test_operating_days,adaptation_rows,adaptation_window_hours,adaptation_span_hours,accuracy,balanced_accuracy,macro_f1,charging_f1,driving_f1,stationary_state_macro_f1,objective_score,stationary_off_precision,stationary_off_recall,stationary_off_f1,stationary_off_support,stationary_on_precision,stationary_on_recall,stationary_on_f1,stationary_on_support,charging_precision,charging_recall,charging_f1.1,charging_support,driving_precision,driving_recall,driving_f1.1,driving_support,macro_f1_bootstrap_center,macro_f1_ci_low,macro_f1_ci_high,charging_f1_bootstrap_center,charging_f1_ci_low,charging_f1_ci_high,delta_macro_f1,delta_macro_f1_ci_low,delta_macro_f1_ci_high,delta_charging_f1,delta_charging_f1_ci_low,delta_charging_f1_ci_high,causal_warmup_rows_source,causal_warmup_rows_target
YAW90_LEFT,Bus A to Bus B,Bus A,Bus B,A+M,CAUSAL,INDUCTIVE_FIXED_TEST,7,False,0,95,7059,12,0,0.0,0.0,0.6598668366624167,0.686880357304508,0.5538598729709139,0.39875604699378026,0.9677083333333333,0.41591038618344073,0.4918183425800604,0.2,0.9090909090909091,0.32786885245901637,242,0.47585290208241027,0.5758713136729222,0.5211062590975255,1865,0.7734584450402144,0.2686219739292365,0.39875604699378026,2148,0.9428281461434371,0.9939372325249644,0.9677083333333333,2804,0.5538598729709139,0.47874657409452503,0.6539075804006012,0.3987560469937802,0.15987877433445777,0.5844769068638361,-0.284834292141112,-0.3540839755519986,-0.20052753976525317,-0.5349854793565368,-0.7592006016463888,-0.3633110248903118,254.0,12.0
YAW90_LEFT,Bus A to Bus B,Bus A,Bus B,A+M,RAW,INDUCTIVE_FIXED_TEST,14,False,0,95,7059,12,0,0.0,0.0,0.9048023799405015,0.855039026960037,0.8386941651120259,0.933741526350317,0.9638970461219555,0.7969598714420494,0.8767131096073424,0.5901639344262295,0.743801652892562,0.6581352833638026,242,0.9538690476190477,0.6873994638069705,0.7990028046120287,1865,0.8804123711340206,0.9939478584729982,0.933741526350317,2148,0.9346733668341709,0.9950071326676176,0.9638970461219555,2804,0.8386941651120259,0.7526300974713017,0.9003706082003022,0.933741526350317,0.8973205533510155,0.9714290100443,0.0,0.0,0.0,0.0,0.0,0.0,,
YAW90_LEFT,Bus A to Bus B,Bus A,Bus B,A+M,ZSCORE,INDUCTIVE_FIXED_TEST,14,True,14,95,7059,12,4438,73.96666666666667,152.33323388888888,0.6318175378948859,0.485484527079556,0.41283155133963356,0.02022058823529412,0.9583404765986627,0.23099524291995718,0.2557871660978978,0.9375,0.06198347107438017,0.11627906976744186,242,0.408429503261415,0.8729222520107238,0.5564860707571355,1865,0.7857142857142857,0.010242085661080074,0.02022058823529412,2148,0.9227467811158798,0.9967902995720399,0.9583404765986627,2804,0.4128315513396336,0.36762365468558866,0.4831451479599168,0.020220588235294115,0.0,0.05926627574800778,-0.42586261377239226,-0.5169547206582505,-0.3150096861806621,-0.9135209381150229,-0.9737024548643183,-0.8450004431761542,,
YAW90_LEFT,Bus A to Bus B,Bus A,Bus B,A+M,QUANTILE,INDUCTIVE_FIXED_TEST,14,True,14,95,7059,12,4438,73.96666666666667,152.33323388888888,0.7020824479388015,0.6045379794330413,0.5820458291043953,0.4108527131782946,0.9673321234119783,0.45361706433520105,0.513568582733955,0.34977578475336324,0.32231404958677684,0.33548387096774196,242,0.4738372093023256,0.8739946380697051,0.6145146088595664,1865,0.8449275362318841,0.271415270018622,0.4108527131782946,2148,0.9848484848484849,0.9504279600570613,0.9673321234119783,2804,0.5820458291043953,0.47775755047570234,0.6778481738941844,0.4108527131782946,0.07716738696142462,0.7329513444189392,-0.2566483360076306,-0.3728221610153987,-0.13913806576713222,-0.5228888131720224,-0.87224698350739,-0.17819041608041616,,
YAW90_LEFT,Bus A to Bus B,Bus A,Bus B,A+M,CORAL,INDUCTIVE_FIXED_TEST,14,True,14,95,7059,12,4438,73.96666666666667,152.33323388888888,0.6754497804221561,0.5445038386189007,0.5206946997256232,0.36009566108643665,0.9805475504322767,0.3674104161567387,0.4564550842699485,0.1673469387755102,0.16942148760330578,0.16837782340862423,242,0.449650136902951,0.7924932975871314,0.5737577639751553,1865,0.6765083440308087,0.24534450651769088,0.36009566108643665,2148,0.9905385735080058,0.9707560627674751,0.9805475504322767,2804,0.5206946997256232,0.403414660607962,0.5930267984349091,0.36009566108643665,0.0,0.6566653943516936,-0.31799946538640267,-0.48025081516875556,-0.18161187893386643,-0.5736458652638804,-0.9552098231449443,-0.25080877653365047,,
YAW90_LEFT,Bus A to Bus B,Bus A,Bus B,A+M,CAUSAL,INDUCTIVE_FIXED_TEST,14,False,0,95,7059,12,0,0.0,0.0,0.6598668366624167,0.686880357304508,0.5538598729709139,0.39875604699378026,0.9677083333333333,0.41591038618344073,0.4918183425800604,0.2,0.9090909090909091,0.32786885245901637,242,0.47585290208241027,0.5758713136729222,0.5211062590975255,1865,0.7734584450402144,0.2686219739292365,0.39875604699378026,2148,0.9428281461434371,0.9939372325249644,0.9677083333333333,2804,0.5538598729709139,0.47874657409452503,0.6539075804006012,0.3987560469937802,0.15987877433445777,0.5844769068638361,-0.284834292141112,-0.3540839755519986,-0.20052753976525317,-0.5349854793565368,-0.7592006016463888,-0.3633110248903118,254.0,12.0
YAW90_LEFT,Bus A to Bus B,Bus A,Bus B,A+M,RAW,INDUCTIVE_FIXED_TEST,18,False,0,95,7059,12,0,0.0,0.0,0.9048023799405015,0.855039026960037,0.8386941651120259,0.933741526350317,0.9638970461219555,0.7969598714420494,0.8767131096073424,0.5901639344262295,0.743801652892562,0.6581352833638026,242,0.9538690476190477,0.6873994638069705,0.7990028046120287,1865,0.8804123711340206,0.9939478584729982,0.933741526350317,2148,0.9346733668341709,0.9950071326676176,0.9638970461219555,2804,0.8386941651120259,0.7526300974713017,0.9003706082003022,0.933741526350317,0.8973205533510155,0.9714290100443,0.0,0.0,0.0,0.0,0.0,0.0,,
YAW90_LEFT,Bus A to Bus B,Bus A,Bus B,A+M,ZSCORE,INDUCTIVE_FIXED_TEST,18,True,18,95,7059,12,6262,104.36666666666666,197.27287666666666,0.775747272984842,0.6262843707263281,0.6376900927095224,0.6207100591715976,0.9678986638903349,0.5276205689825848,0.6308980792943525,0.9302325581395349,0.1652892561983471,0.2807017543859649,242,0.5656637168141593,0.8568364611260053,0.6814498933901919,1865,0.851461038961039,0.4883612662942272,0.6207100591715976,2148,0.942548158161541,0.9946504992867332,0.9678986638903349,2804,0.6376900927095224,0.49548665390286484,0.7493759438345213,0.6207100591715976,0.1954085671995555,0.8217492469652952,-0.2010040724025035,-0.35969756606653935,-0.05279161084428385,-0.31303146717871944,-0.7521195752259107,-0.1124224979946534,,
YAW90_LEFT,Bus A to Bus B,Bus A,Bus B,A+M,QUANTILE,INDUCTIVE_FIXED_TEST,18,True,18,95,7059,12,6262,104.36666666666666,197.27287666666666,0.7580393823487747,0.6934349433523621,0.6433128384238067,0.6538578835010674,0.948013367991088,0.541745995234713,0.6475308564547111,0.17681159420289855,0.5041322314049587,0.26180257510729615,242,0.6039156626506024,0.8600536193029491,0.7095775270957753,1865,0.9478337754199824,0.49906890130353815,0.6538578835010674,2148,0.9887683965917893,0.9104850213980028,0.948013367991088,2804,0.6433128384238067,0.5252843906937121,0.8067626021982867,0.6538578835010674,0.30516227599560924,0.8522416716199827,-0.19538132668821917,-0.32350842760969045,-0.04426106025222113,-0.2798836428492496,-0.6167921727774749,-0.09176498436871516,,
YAW90_LEFT,Bus A to Bus B,Bus A,Bus B,A+M,CORAL,INDUCTIVE_FIXED_TEST,18,True,18,95,7059,12,6262,104.36666666666666,197.27287666666666,0.6512253860320159,0.5451526368824811,0.522798043774821,0.35662491760052734,0.9642791720095255,0.3756376676965862,0.4563287933051035,0.2150170648464164,0.2603305785123967,0.23551401869158878,242,0.422015503875969,0.7297587131367292,0.5347740667976424,1865,0.6106094808126411,0.25186219739292365,0.35662491760052734,2148,0.9913370998116761,0.9386590584878745,0.9642791720095255,2804,0.5227980437748211,0.4205505561748429,0.5864767034138415,0.35662491760052734,0.0,0.6429690893202963,-0.3158961213372048,-0.4590646497322602,-0.1860618459198768,-0.5771166087497897,-0.955553512914147,-0.2608656670977854,,
YAW90_LEFT,Bus A to Bus B,Bus A,Bus B,A+M,CAUSAL,INDUCTIVE_FIXED_TEST,18,False,0,95,7059,12,0,0.0,0.0,0.6598668366624167,0.686880357304508,0.5538598729709139,0.39875604699378026,0.9677083333333333,0.41591038618344073,0.4918183425800604,0.2,0.9090909090909091,0.32786885245901637,242,0.47585290208241027,0.5758713136729222,0.5211062590975255,1865,0.7734584450402144,0.2686219739292365,0.39875604699378026,2148,0.9428281461434371,0.9939372325249644,0.9677083333333333,2804,0.5538598729709139,0.47874657409452503,0.6539075804006012,0.3987560469937802,0.15987877433445777,0.5844769068638361,-0.284834292141112,-0.3540839755519986,-0.20052753976525317,-0.5349854793565368,-0.7592006016463888,-0.3633110248903118,254.0,12.0
YAW90_LEFT,Bus A to Bus B,Bus A,Bus B,A+G,RAW,INDUCTIVE_FIXED_TEST,1,False,0,96,7059,12,0,0.0,0.0,0.8655616942909761,0.7621314085436137,0.7449528058742428,0.8438877290651821,0.9876325088339223,0.6640595715543497,0.7845267751506185,0.3010752688172043,0.4628099173553719,0.36482084690553745,242,0.829736211031175,0.7420911528150134,0.7834701386923295,1865,0.8409616273693944,0.8468342644320298,0.8438877290651821,2148,0.978641456582633,0.9967902995720399,0.9876325088339223,2804,0.7449528058742428,0.6698213640703772,0.8130658014827601,0.8438877290651822,0.6847579046912049,0.934814177543133,0.0,0.0,0.0,0.0,0.0,0.0,,
YAW90_LEFT,Bus A to Bus B,Bus A,Bus B,A+G,ZSCORE,INDUCTIVE_FIXED_TEST,1,True,1,96,7059,12,81,1.35,4.197950277777777,0.3972234027482646,0.25,0.14219066937119676,0.0,0.568762677484787,0.0,0.08531440162271806,0.0,0.0,0.0,242,0.0,0.0,0.0,1865,0.0,0.0,0.0,2148,0.3973922902494331,1.0,0.568762677484787,2804,0.14219066937119676,0.13284507959407307,0.15228721157216424,0.0,0.0,0.0,-0.6027621365030461,-0.6647840282950143,-0.5343017667749916,-0.8438877290651822,-0.9324825581526757,-0.6937832146356444,,
YAW90_LEFT,Bus A to Bus B,Bus A,Bus B,A+G,QUANTILE,INDUCTIVE_FIXED_TEST,1,True,1,96,7059,12,81,1.35,4.197950277777777,0.4162062615101289,0.38842975206611574,0.21120102311021147,0.0,0.7297332465842551,0.03835694861886361,0.12672061386612687,0.06420699568758984,0.5537190082644629,0.11507084585659082,242,0.0,0.0,0.0,1865,0.0,0.0,0.0,2148,0.5744724441712764,1.0,0.7297332465842551,2804,0.21120102311021147,0.18959266849164902,0.2519811480392621,0.0,0.0,0.0,-0.5337517827640313,-0.5935996317152644,-0.4579481183884973,-0.8438877290651822,-0.932165603544572,-0.6887909674540329,,
YAW90_LEFT,Bus A to Bus B,Bus A,Bus B,A+G,CORAL,INDUCTIVE_FIXED_TEST,1,True,1,96,7059,12,81,1.35,4.197950277777777,0.32837512395523444,0.2747670409564276,0.1987675835273926,0.0,0.404443322393335,0.1302090039054118,0.11926055011643555,0.0,0.0,0.0,242,0.25703151474076585,0.8134048257372655,0.3906270117162354,1865,0.0,0.0,0.0,2148,0.6923076923076923,0.2856633380884451,0.404443322393335,2804,0.1987675835273926,0.17108686737033413,0.22763262948766622,0.0,0.0,0.0,-0.5461852223468502,-0.6272817992545406,-0.4487898041464996,-0.8438877290651822,-0.9352780631779858,-0.6940116149055696,,
