bus_b_orientation,direction,source_vehicle,target_vehicle,sensor_config,method,protocol,budget_k_days,n_runs,n_test_splits,accuracy_p25,accuracy_p50,accuracy_p75,balanced_accuracy_p25,balanced_accuracy_p50,balanced_accuracy_p75,macro_f1_p25,macro_f1_p50,macro_f1_p75,stationary_macro_f1_p25,stationary_macro_f1_p50,stationary_macro_f1_p75,stationary_macro_f1_p25,stationary_macro_f1_p50,stationary_macro_f1_p75,charging_f1_p25,charging_f1_p50,charging_f1_p75,charging_f1_p25,charging_f1_p50,charging_f1_p75,driving_f1_p25,driving_f1_p50,driving_f1_p75,driving_f1_p25,driving_f1_p50,driving_f1_p75,objective_score_p25,objective_score_p50,objective_score_p75,adaptation_rows_p25,adaptation_rows_p50,adaptation_rows_p75,adaptation_hours_p25,adaptation_hours_p50,adaptation_hours_p75,adaptation_window_hours_p25,adaptation_window_hours_p50,adaptation_window_hours_p75,adaptation_span_hours_p25,adaptation_span_hours_p50,adaptation_span_hours_p75
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,14,50,5,0.7609649122807017,0.8104033970276009,0.8268839508858199,0.7607696297663605,0.7807476325489318,0.8094326662696396,0.7098007711890987,0.7365284208198355,0.7622177428427401,0.629640882127191,0.6625095596073167,0.6895392277117119,0.629640882127191,0.6625095596073167,0.6895392277117119,0.7047181691853396,0.7673482553025119,0.8278224179441889,0.7047181691853396,0.7673482553025119,0.8278224179441889,0.9628057918671564,0.9717052946964326,0.9754831427759062,0.9628057918671564,0.9717052946964326,0.9754831427759062,0.7097386308206752,0.7615885385845838,0.7845680006457765,6078.5,6596.0,7111.75,114.20434597222226,122.67233569444431,132.0780080555556,101.30833333333334,109.93333333333334,118.52916666666668,158.38942458333332,166.7712204166667,177.55560868055557
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,14,50,5,0.7065419516992442,0.73548078956518,0.7589466235341691,0.6590259504721433,0.6753156917079775,0.6876904659998795,0.6293187690972288,0.6504508297368086,0.6662925313591115,0.535666003638454,0.5644514435793578,0.588997194824211,0.535666003638454,0.5644514435793578,0.588997194824211,0.6122242485322583,0.703426143233056,0.7871962524126835,0.6122242485322583,0.703426143233056,0.7871962524126835,0.9062640220988276,0.9143613748743422,0.9178772745201568,0.9062640220988276,0.9143613748743422,0.9178772745201568,0.6268971578667336,0.668246780857165,0.7080252823844104,6078.5,6596.0,7111.75,114.20434597222226,122.67233569444431,132.0780080555556,101.30833333333334,109.93333333333334,118.52916666666668,158.38942458333332,166.7712204166667,177.55560868055557
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.824798349277809,0.8346072186836518,0.8374443995147594,0.7059310902045248,0.7099107281776054,0.7157211647871002,0.7035138754696808,0.7087980902761848,0.7114557698366587,0.615515492202655,0.6227065411274365,0.6248087879690559,0.615515492202655,0.6227065411274365,0.6248087879690559,0.7868357487922706,0.822998193859121,0.843579766536965,0.7868357487922706,0.822998193859121,0.843579766536965,0.967509025270758,0.9686119507091374,0.9692671394799054,0.967509025270758,0.9686119507091374,0.9692671394799054,0.7359637469685555,0.7560727394456437,0.7627107607804968,7990.0,8375.0,8611.0,150.05160749999996,158.7114808333332,160.7930033333332,133.16666666666666,139.58333333333334,143.51666666666668,212.32198277777775,212.34181361111115,215.87509
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.7872611464968153,0.8048282896973818,0.8141097424412094,0.7762615827563967,0.7773533070689287,0.7909181378903033,0.7327543160866202,0.7340924815160035,0.7532899691729651,0.6519500400416318,0.6570044343551565,0.679490415573328,0.6519500400416318,0.6570044343551565,0.679490415573328,0.6952931461601982,0.7654814222932481,0.8056984566679858,0.6952931461601982,0.7654814222932481,0.8056984566679858,0.9746886299718762,0.9751671442215856,0.9769606702350476,0.9746886299718762,0.9751671442215856,0.9769606702350476,0.7300912399678583,0.7627348715767964,0.762784161065956,7990.0,8375.0,8611.0,150.05160749999996,158.7114808333332,160.7930033333332,133.16666666666666,139.58333333333334,143.51666666666668,212.32198277777775,212.34181361111115,215.87509
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.7321761851437103,0.7514537610204465,0.7522292993630574,0.665684085809533,0.6940756755125072,0.6950122996652227,0.6473451577813247,0.6611162467414203,0.665275599773965,0.5576334641658032,0.5792893305126188,0.5811686108574183,0.5576334641658032,0.5792893305126188,0.5811686108574183,0.7028728846910665,0.7672162948593598,0.7714851485148515,0.7028728846910665,0.7672162948593598,0.7714851485148515,0.9065969954278248,0.9162098668754894,0.9164802386278896,0.9065969954278248,0.9162098668754894,0.9164802386278896,0.6778189019212788,0.7034675022337489,0.706051877808123,7990.0,8375.0,8611.0,150.05160749999996,158.7114808333332,160.7930033333332,133.16666666666666,139.58333333333334,143.51666666666668,212.32198277777775,212.34181361111115,215.87509
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,1,50,5,0.6123748520746263,0.6949436906188109,0.7522863008585293,0.5463533016830425,0.6402321709255299,0.7175305314068157,0.4648814283193863,0.5860424277586453,0.6912032937949517,0.2981860618309034,0.4572725950261782,0.5963302487313976,0.2981860618309034,0.4572725950261782,0.5963302487313976,0.0210297912268355,0.4801129006129981,0.660521089698908,0.0210297912268355,0.4801129006129981,0.660521089698908,0.958234308272124,0.9723574645964872,0.977957042195611,0.958234308272124,0.9723574645964872,0.977957042195611,0.2887829145489067,0.5330193808113742,0.659364776637281,589.0,736.5,964.0,11.421680833333337,13.553874444444444,17.34404888888889,9.816666666666666,12.275,16.066666666666666,13.905689444444446,15.772793472222222,19.13559763888889
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,1,50,5,0.5686077488748298,0.6145435244161359,0.6766592449669571,0.536000905941669,0.6036174025879616,0.6433275909851386,0.4832007468168928,0.5306715207910182,0.5826396384029627,0.3413423144719196,0.4219599659062294,0.4968500471735086,0.3413423144719196,0.4219599659062294,0.4968500471735086,0.0653445950230781,0.2736478752453434,0.5060982020001252,0.0653445950230781,0.2736478752453434,0.5060982020001252,0.7892710727723344,0.9060511641982644,0.938364624505929,0.7892710727723344,0.9060511641982644,0.938364624505929,0.3290537209519918,0.4240001874787162,0.5713723113753729,589.0,736.5,964.0,11.421680833333337,13.553874444444444,17.34404888888889,9.816666666666666,12.275,16.066666666666666,13.905689444444446,15.772793472222222,19.13559763888889
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,1,50,5,0.3325719150367705,0.4062840731045665,0.4293113101903695,0.2807302008249138,0.35158900707637,0.3869201697311408,0.2011563371442569,0.2867887633847946,0.3170149914307337,0.0842382516586639,0.1401925751428966,0.1848423756340094,0.0842382516586639,0.1401925751428966,0.1848423756340094,0.0,0.0,0.0026540031733458,0.0,0.0,0.0026540031733458,0.5777999250743171,0.6879978670767231,0.7631396289016457,0.5777999250743171,0.6879978670767231,0.7631396289016457,0.126294667987633,0.1740097197108131,0.1902089948584402,589.0,736.5,964.0,11.421680833333337,13.553874444444444,17.34404888888889,9.816666666666666,12.275,16.066666666666666,13.905689444444446,15.772793472222222,19.13559763888889
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,3,50,5,0.6410488691885098,0.7003981937360975,0.7820866747784271,0.4957445533403442,0.587612414385404,0.739676096085446,0.4348953841823521,0.58507937144885,0.6957380736381231,0.2597439960442515,0.4607542398731421,0.6033367021791902,0.2597439960442515,0.4607542398731421,0.6033367021791902,0.0,0.4169952018848188,0.7176549325150641,0.0,0.4169952018848188,0.7176549325150641,0.9504824932973092,0.9693985510800788,0.9755687584017704,0.9504824932973092,0.9693985510800788,0.9755687584017704,0.2609372305094112,0.512521219890866,0.7006281876930022,882.0,1372.0,1831.0,16.609659097222224,26.11466263888889,34.0089870138889,14.7,22.866666666666667,30.516666666666666,27.94670875,36.40455805555556,43.86834604166666
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,3,50,5,0.6439402961464971,0.6911578834947729,0.7466922085280636,0.5812070361373681,0.666445060718194,0.7323535517806228,0.5334454857656866,0.607853411286273,0.6765089957673128,0.3962311652936163,0.4940953406439415,0.5859016825278498,0.3962311652936163,0.4940953406439415,0.5859016825278498,0.1807263747391043,0.429252100430127,0.6009680472414638,0.1807263747391043,0.429252100430127,0.6009680472414638,0.8940675354465963,0.9360639795382542,0.972039396303037,0.8940675354465963,0.9360639795382542,0.972039396303037,0.3977478629526706,0.5285931695044299,0.6295499450373307,882.0,1372.0,1831.0,16.609659097222224,26.11466263888889,34.0089870138889,14.7,22.866666666666667,30.516666666666666,27.94670875,36.40455805555556,43.86834604166666
