sensor_configuration,calibration_strategy,labeled_target_days,n_runs,n_test_partitions,target_exposure_hours_p25,target_exposure_hours_p50,target_exposure_hours_p75,accuracy_p25,accuracy_p50,accuracy_p75,balanced_accuracy_p25,balanced_accuracy_p50,balanced_accuracy_p75,macro_f1_p25,macro_f1_p50,macro_f1_p75,stationary_state_macro_f1_p25,stationary_state_macro_f1_p50,stationary_state_macro_f1_p75,charging_precision_p25,charging_precision_p50,charging_precision_p75,charging_recall_p25,charging_recall_p50,charging_recall_p75,charging_f1_p25,charging_f1_p50,charging_f1_p75,driving_f1_p25,driving_f1_p50,driving_f1_p75
A+G,vehicle_balanced,5,50,5,36.727732152777776,45.67881375,57.16143305555556,0.8180849252554689,0.8627370615412688,0.9031262331133671,0.7723291752537444,0.8231359514974633,0.8667932414830224,0.7481950639042017,0.7988704728876903,0.8578144579354471,0.6666886582348677,0.735131655604954,0.8137081362117566,0.7694779049847995,0.8409444732745199,0.892526301089284,0.5680342890300996,0.7915523148851419,0.9104014598540144,0.6856180980026312,0.8012053675806062,0.8752240082027316,0.9909509960638718,0.991873427160137,0.9931229703175096
A+G,vehicle_balanced,10,50,5,76.2234475,94.57234861111112,103.08071673611111,0.8690186051943458,0.8883770646827417,0.9145774363121716,0.8252236009803668,0.859996163303237,0.9000736926915784,0.8139780694883278,0.8458235298824912,0.8963894795854044,0.7546823190911088,0.796551029230586,0.8642699911732228,0.8186695305613151,0.8671737382181042,0.9239582458442196,0.7254150702426565,0.8581497797356827,0.9602189781021896,0.7957623075254825,0.8397382022238254,0.8888048551669814,0.990786949362394,0.9925016631672804,0.993958363203949
A+G,vehicle_balanced,18,5,5,150.26141416666667,158.93063722222223,160.99430388888888,0.8979553554680173,0.900709219858156,0.9084108370400324,0.851045945058335,0.8973261779978488,0.8974822445401275,0.8557301778187588,0.8567406589571585,0.8972551082654656,0.8099669006561271,0.8110921267882721,0.8648431383659302,0.8390804597701149,0.859594383775351,0.8966861598440545,0.792235801581596,0.9004405286343612,0.9591240875912408,0.8245417134306023,0.8686782830429239,0.8727833461835004,0.9930200093066542,0.9936862554638174,0.993739328400683
A+M,vehicle_balanced,0,5,5,0.0,0.0,0.0,0.6606942889137738,0.6898503841488072,0.7129994372537986,0.5878343918709523,0.6209383475553374,0.6799214483236875,0.5684937417577187,0.5708434653005134,0.6222564259183694,0.4333571933412189,0.4405127418398479,0.5081207293436312,0.584652862362972,0.7336601307189542,0.7810858143607706,0.3503649635036496,0.3890814558058925,0.3929515418502202,0.4381560931081698,0.5084937712344281,0.5228604923798359,0.9640120733689342,0.9646635156425838,0.9676145339652448
A+M,vehicle_balanced,1,50,5,11.813872430555552,13.584381944444448,16.86663888888889,0.7256666673885783,0.7897647099586962,0.8212500152826336,0.6617921216043833,0.7105542937965472,0.7581756097195946,0.6319407437178045,0.6843621350235007,0.748842980632734,0.5178481228966394,0.5858995947264024,0.6723820386931076,0.6570766602605167,0.7300403043202608,0.8193832823649337,0.3687693829466801,0.583157618041722,0.7514598540145985,0.4735986121269295,0.6566679792193275,0.7340379879026765,0.9800316919619974,0.9848540228550968,0.9871263552469896
A+M,vehicle_balanced,2,50,5,14.88865506944445,20.88329805555556,27.923190763888883,0.6530363770571798,0.7730519130341218,0.8532026964544338,0.6286250383465735,0.7110848312138165,0.7817228906105758,0.5382338451509837,0.675073715256199,0.7866154436628823,0.3886684337125714,0.5765859784213297,0.7184676726367052,0.3498302076097861,0.7394811283783302,0.8376180257510729,0.0725645037164654,0.4825295435994758,0.7710280373831775,0.1212259869724154,0.5943879187462875,0.8074557525981444,0.9815202203511006,0.9856284723665902,0.9882584056995536
A+M,vehicle_balanced,3,50,5,18.031372291666663,26.64440388888889,34.651666319444445,0.6810527314812778,0.8135914558160597,0.8675620537232234,0.6628032224419139,0.7399936034332071,0.8196028375628094,0.5488602165387915,0.7283002575148193,0.8079558609838972,0.4036166082054048,0.6434915326495161,0.7479375497631945,0.5123054755043228,0.7801148386429716,0.8822569601453857,0.035196086004732,0.5036496350364963,0.7897196261682243,0.0660958557207174,0.6246181322974571,0.8029643068454836,0.98085036984448,0.986541006412327,0.988746011517492
A+M,vehicle_balanced,5,50,5,36.727732152777776,45.67881375,57.16143305555556,0.730108120874797,0.8614014399250367,0.8954884729601995,0.716426101443131,0.8255137312264855,0.8689172294985346,0.6431560974829937,0.8052005346645905,0.8617076229028542,0.5285281966202049,0.7448608167329185,0.818986883709116,0.7329325200712828,0.8503942078070892,0.9192461291944716,0.2563338208681424,0.7076264767209015,0.8657857366448056,0.3819290973527869,0.7900896490530245,0.8564195270875457,0.9852155168370884,0.9883339573921348,0.9893854078824686
A+M,vehicle_balanced,10,50,5,76.2234475,94.57234861111112,103.08071673611111,0.8760576435701257,0.8932086234684491,0.9116348374547624,0.8440079054471257,0.8668516293762194,0.901554597919064,0.8298782708852783,0.8572176012393964,0.887920755403763,0.776875311027163,0.8135789463458187,0.8536367029936192,0.8417018629192567,0.9075903286469468,0.9393078693251103,0.7008301404853129,0.8250027722160409,0.9020116284561336,0.8042881889207056,0.841588234497515,0.8772905397470173,0.9873764566597204,0.9890271729425733,0.9903100706890212
A+M,vehicle_balanced,18,5,5,150.26141416666667,158.93063722222223,160.99430388888888,0.891389983117614,0.9096677864874954,0.9126566922765872,0.8702131778473989,0.8847681919156849,0.908183226043104,0.8565130502713711,0.8650426369848008,0.8928420544382629,0.8120020244615288,0.8236873454808773,0.8604848910281545,0.871268656716418,0.9119341563786008,0.9225449515905948,0.796549245147376,0.8229074889867841,0.9601386481802426,0.8463978251019484,0.8503453568687643,0.8839250099720782,0.9897244278374592,0.989913544668588,0.9900461277008984
A+M+G,vehicle_balanced,0,5,5,0.0,0.0,0.0,0.5938783128032848,0.6435503437120906,0.6621646970549615,0.5099264048176423,0.5340450295446862,0.593888135743553,0.4463784499779623,0.4520930210725996,0.4909168441808594,0.2644774506493494,0.272438587761613,0.3253718365011735,0.0664451827242525,0.0879120879120879,0.1224489795918367,0.0115025161754133,0.0145985401459854,0.0147313691507798,0.0188679245283018,0.0239377618192698,0.0268562401263823,0.988009592326139,0.9910563210055596,0.9920814479638008
A+M+G,vehicle_balanced,1,50,5,11.813872430555552,13.584381944444448,16.86663888888889,0.6876365194295351,0.7513725515580207,0.8209933802423396,0.6198035350557464,0.6758831042818911,0.7085566432843746,0.5635419601489058,0.6548524883873901,0.7069934061077658,0.4212191974709973,0.543344374836856,0.6120751265963598,0.5661175107032193,0.6941698587978877,0.7996178281605922,0.1797356828193831,0.4337756036112465,0.7393984540379039,0.2656510491520552,0.5303654885907534,0.7461389584257778,0.9889389598640204,0.990865865865866,0.9924815468543884
A+M+G,vehicle_balanced,2,50,5,14.88865506944445,20.88329805555556,27.923190763888883,0.6535783706574618,0.7884990089214987,0.8394904458598726,0.6392956076865918,0.7014848264772787,0.7646500430577299,0.5301882233610857,0.6753878336021686,0.758900696453426,0.3767074728432647,0.5696648248477574,0.681627576859489,0.3791576070987835,0.7401969580066151,0.8336783816488662,0.057639392574382,0.4825262601200623,0.7371975473193155,0.0972291368793523,0.6166987574132379,0.7527659574468085,0.989606074071212,0.9915151515151516,0.9927780160422254
A+M+G,vehicle_balanced,3,50,5,18.031372291666663,26.64440388888889,34.651666319444445,0.6892159637250341,0.793022076050306,0.8698674878686077,0.6513166285307727,0.7389463301448624,0.8087377143402977,0.5509643982931519,0.708994645881776,0.8034712824130411,0.4045844621667693,0.6161191744450047,0.7408425089882714,0.4148143128219029,0.7642591106536643,0.8715977739838466,0.0272639893224964,0.3933206849953045,0.7587591240875913,0.0494464944649446,0.5298893951689708,0.8108573252806105,0.990266441911658,0.99146410838341,0.9924615860283084
A+M+G,vehicle_balanced,5,50,5,36.727732152777776,45.67881375,57.16143305555556,0.7183608341667397,0.8497009241980424,0.8939192032880646,0.6937350697609876,0.8227186954916149,0.8536066042767627,0.6093700756163154,0.8026913727594409,0.8418807689499623,0.4818905209934184,0.7398862439179859,0.7916333526977759,0.6139754699839262,0.8541521353242143,0.931976597489434,0.2079295154185021,0.5861003917723222,0.7919805912129093,0.3099114425024156,0.7127570041120658,0.8479648687548895,0.990526380283627,0.9912832602717174,0.992576932001958
