direction,model,orientation,n_features,source_bus,target_bus,accuracy,balanced_accuracy,macro_f1,stationary_state_macro_f1,charging_f1,driving_f1,stationary_off_precision,stationary_off_recall,stationary_off_f1,stationary_off_support,stationary_on_precision,stationary_on_recall,stationary_on_f1,stationary_on_support,charging_precision,charging_recall,charging_f1,charging_support,driving_precision,driving_recall,driving_f1,driving_support
Bus A to Bus B,A+G,RECORDED,96,A,B,0.6637639816830568,0.5582718945123222,0.5322554287619933,0.37956246875930333,0.29461756373937675,0.990334308770063,0.13099630996309963,0.41239109390125844,0.19883313885647608,1033,0.6632622409131872,0.6281650071123756,0.6452367036820573,3515,0.5810055865921788,0.19734345351043645,0.29461756373937675,3162,0.9855277091422521,0.9951880235252183,0.990334308770063,5611
Bus A to Bus B,A+G,YAW90_LEFT,96,A,B,0.8146535545379476,0.7252376126815825,0.7338367368425934,0.6499303986977636,0.6704663212435233,0.985555751277083,0.6079136690647482,0.49080348499515974,0.5431173004820568,1033,0.6824586977648203,0.7991465149359886,0.7362075743677107,3515,0.7385844748858448,0.6138519924098672,0.6704663212435233,3162,0.9742294967786871,0.9971484583853145,0.985555751277083,5611
Bus A to Bus B,A+M+G,RECORDED,137,A,B,0.6408678027175136,0.5487635736612945,0.4701039624672727,0.2968389533233669,0.00735918482875743,0.98989898989899,0.22623655913978494,0.5091965150048403,0.3132817153067302,1033,0.48727272727272725,0.6862019914651494,0.5698759598346131,3515,0.03504043126684636,0.004111321948134092,0.00735918482875743,3162,0.9843171806167401,0.995544466227054,0.98989898989899,5611
Bus A to Bus B,A+M+G,YAW90_LEFT,137,A,B,0.8395015389235042,0.7672304316148912,0.7762679079689732,0.7076915392456541,0.7064730141653218,0.9819970141389304,0.6989737742303307,0.5934172313649564,0.6418848167539267,1033,0.7075005878203621,0.856045519203414,0.7747167868177137,3515,0.8157349896480331,0.6230234029095509,0.7064730141653218,3162,0.9679709141274239,0.9964355729816432,0.9819970141389304,5611
Bus B to Bus A,A,RECORDED,54,B,A,0.7265791607845493,0.5706522698450129,0.5248167401650099,0.36756635664972226,0.0014849034812737172,0.9965678907108728,0.49333932887414983,0.4188299293758351,0.45304152579554546,20956,0.5169853648114517,0.868578094853502,0.6481726406723477,22287,0.05625,0.0007523825447249624,0.0014849034812737172,11962,0.9986961604172286,0.99444867260599,0.9965678907108728,44674
Bus B to Bus A,A,YAW90_LEFT,54,B,A,0.7240060473172539,0.5730577558980972,0.5431368999567676,0.3922913603434717,0.03578684169401469,0.9956735187966553,0.4215679979452934,0.6265985875167016,0.5040304007369876,20956,0.6225429317802236,0.6522636514560057,0.6370568385994128,22287,0.27392344497607657,0.019143955860224042,0.03578684169401469,11962,0.9971264367816092,0.9942248287594574,0.9956735187966553,44674
Bus B to Bus A,M,RECORDED,41,B,A,0.5322139789144865,0.4226181002580729,0.40302121270377195,0.2590187312737441,0.023444826508283837,0.8350286569938555,0.2903723831285123,0.44874976140484824,0.3525927036856511,20956,0.3324671489738668,0.5051823933234622,0.4010186636272973,22287,0.17985611510791366,0.012539709078749373,0.023444826508283837,11962,0.9862779776788437,0.7240005372252317,0.8350286569938555,44674
Bus B to Bus A,M,YAW90_LEFT,41,B,A,0.49564973618077873,0.3968598529693813,0.3773746772961536,0.24130474370864205,0.02292713567839196,0.7855844780586884,0.26483921982076963,0.3596106127123497,0.30503329218190284,20956,0.3069551472041099,0.5576344954457756,0.39595380326563123,22287,0.18863049095607234,0.01220531683664939,0.02292713567839196,11962,0.9745706518135402,0.6579889868827506,0.7855844780586884,44674
Bus B to Bus A,G,RECORDED,42,B,A,0.6695902041470179,0.5185759186145985,0.5075789305702942,0.3445419072034103,0.13899762561766027,0.9966900006709458,0.38334361905999287,0.5631799961824776,0.45617764721798115,20956,0.4550412664703895,0.42302687665455196,0.4384504487745896,22287,0.2990886495443248,0.09053669954857048,0.13899762561766027,11962,0.9958214158026457,0.997560102072794,0.9966900006709458,44674
Bus B to Bus A,G,YAW90_LEFT,42,B,A,0.7027703521260725,0.548738471894011,0.5070991550135686,0.344281149352706,0.005282707387536112,0.9955531719961566,0.439977102982064,0.7702328688681046,0.560043024183755,20956,0.5198220953217658,0.42477677569883787,0.46751771648682683,22287,0.20915032679738563,0.002675137936799866,0.005282707387536112,11962,0.9938431337556884,0.9972691050723016,0.9955531719961566,44674
